CIRCULATION ACTIVITY by ITEM LOCATION (Jan 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|37|27|0|0|64|      0.1%|
cjcir|279|161|30|0|470|      0.7%|
cjmrs|24|18|2|0|44|      0.1%|
cjpbk|40|26|1|0|67|      0.1%|
cjref|3|1|0|0|4|      0.0%|
cjres|165|161|2|0|328|      0.5%|
cjsup|59|59|0|0|118|      0.2%|
cmavs|38|25|4|0|67|      0.1%|
cmcir|646|361|17|1|1025|      1.5%|
cmjuv|46|26|0|0|72|      0.1%|
cmmrs|64|45|6|0|115|      0.2%|
cmovs|3|3|0|0|6|      0.0%|
cmpbk|19|14|0|0|33|      0.0%|
cmref|15|11|0|0|26|      0.0%|
cmres|1022|1003|0|0|2025|      2.9%|
cmrrf|3|2|0|0|5|      0.0%|
cmsup|1529|1506|0|0|3035|      4.4%|
cnmr |2|0|0|0|2|      0.0%|
cravs|8|5|0|0|13|      0.0%|
crcir|15|13|1|0|29|      0.0%|
cresl|1|4|0|0|5|      0.0%|
crref|1|1|0|0|2|      0.0%|
crres|35|35|0|0|70|      0.1%|
crsup|13|11|0|0|24|      0.0%|
ctcir|16|7|0|0|23|      0.0%|
cvavs|5|4|0|0|9|      0.0%|
cvcir|10|6|2|0|18|      0.0%|
cvres|5|5|0|0|10|      0.0%|
cvsup|11|11|0|0|22|      0.0%|
cwavs|6|4|0|0|10|      0.0%|
cwcir|34|26|3|0|63|      0.1%|
cwjuv|6|1|0|0|7|      0.0%|
cwmrs|9|8|0|0|17|      0.0%|
cwres|214|210|0|0|424|      0.6%|
cwsup|78|76|0|0|154|      0.2%|
eaubk|14|13|0|0|27|      0.0%|
edf  |11|1|0|0|12|      0.0%|
edn  |1|1|0|0|2|      0.0%|
egen |927|240|1|0|1168|      1.7%|
eirc |142|54|0|0|196|      0.3%|
ejuv |170|64|0|0|234|      0.3%|
emsv |48|16|0|0|64|      0.1%|
emsx |1|0|0|0|1|      0.0%|
eover|15|2|0|0|17|      0.0%|
erav |13|6|0|0|19|      0.0%|
eref |4|3|0|0|7|      0.0%|
eresv|66|64|0|0|130|      0.2%|
ergen|45|9|0|0|54|      0.1%|
esswo|26|11|0|0|37|      0.1%|
eswlo|198|100|0|0|298|      0.4%|
faccs|64|63|0|0|127|      0.2%|
fadap|50|48|0|0|98|      0.1%|
fav  |76|63|0|0|139|      0.2%|
fcda |1|4|0|0|5|      0.0%|
fdvd |1847|1342|12|10|3211|      4.6%|
fethe|1|1|0|0|2|      0.0%|
fgc  |2793|1565|25|53|4436|      6.4%|
flap |72|66|0|0|138|      0.2%|
fmin |32|13|0|0|45|      0.1%|
fmous|8|8|0|0|16|      0.0%|
fovs |4|3|1|0|8|      0.0%|
fper |1|1|0|0|2|      0.0%|
fread|3|3|0|0|6|      0.0%|
fres |166|155|0|0|321|      0.5%|
froom|265|248|0|0|513|      0.7%|
fsrec|483|379|4|2|868|      1.3%|
fsto1|7|5|0|0|12|      0.0%|
fstor|45|17|0|0|62|      0.1%|
fxx  |51|33|1|0|85|      0.1%|
fxxov|10|6|0|0|16|      0.0%|
gcd  |5|2|0|0|7|      0.0%|
ggc  |354|358|0|0|712|      1.0%|
gpop |53|32|0|0|85|      0.1%|
gres |417|393|0|0|810|      1.2%|
gsc  |1|3|0|0|4|      0.0%|
gtran|52|60|0|0|112|      0.2%|
gvid |116|76|0|0|192|      0.3%|
harch|6|2|0|0|8|      0.0%|
haud |6|1|0|0|7|      0.0%|
hcdrm|5|3|0|0|8|      0.0%|
hgdus|1|0|0|0|1|      0.0%|
hgen |474|312|0|3|789|      1.1%|
hjuv |40|27|1|0|68|      0.1%|
hover|22|10|0|0|32|      0.0%|
hrare|0|1|0|0|1|      0.0%|
hvid |114|100|1|0|215|      0.3%|
iav  |137|96|0|1|234|      0.3%|
icirc|281|95|3|2|381|      0.5%|
inc  |10|1|0|0|11|      0.0%|
ires |78|63|0|0|141|      0.2%|
nccgc|258|84|0|0|342|      0.5%|
nccrs|0|1|0|0|1|      0.0%|
nccv |34|17|0|0|51|      0.1%|
ncegc|1|0|0|0|1|      0.0%|
paccs|9|8|0|0|17|      0.0%|
padap|9|9|0|0|18|      0.0%|
pgc  |3|0|1|0|4|      0.0%|
pgcll|567|331|18|14|930|      1.3%|
phres|7|0|0|0|7|      0.0%|
plap |130|128|0|0|258|      0.4%|
pml  |2|1|0|0|3|      0.0%|
pmous|23|23|0|0|46|      0.1%|
pread|5|4|0|0|9|      0.0%|
pref |2|0|0|0|2|      0.0%|
pres |110|107|0|0|217|      0.3%|
proom|86|86|0|0|172|      0.2%|
rav  |7|3|0|0|10|      0.0%|
rgen |54|43|0|0|97|      0.1%|
rres |1|1|0|0|2|      0.0%|
saccs|24|23|0|0|47|      0.1%|
sadap|22|22|0|0|44|      0.1%|
sav  |26|0|0|0|26|      0.0%|
sel  |2|1|1|0|4|      0.0%|
sethe|1|1|0|0|2|      0.0%|
sfc  |17|10|0|0|27|      0.0%|
sfcab|43|45|0|0|88|      0.1%|
sfcar|2|0|0|0|2|      0.0%|
sfccd|50|42|0|0|92|      0.1%|
sfcdv|455|376|3|1|835|      1.2%|
sfcgc|477|367|9|0|853|      1.2%|
sfcin|2|0|0|0|2|      0.0%|
sfcm |4|3|0|0|7|      0.0%|
sfco |4|4|0|0|8|      0.0%|
sfcrv|498|426|0|0|924|      1.3%|
sfctd|4|2|0|0|6|      0.0%|
sfigc|54|69|0|0|123|      0.2%|
sgc  |24|8|4|0|36|      0.1%|
sgc2 |2824|1600|22|42|4488|      6.5%|
sgov |8|3|0|0|11|      0.0%|
sgv  |2|2|0|0|4|      0.0%|
slap |331|327|0|0|658|      0.9%|
smous|50|50|0|0|100|      0.1%|
smpg2|19|0|0|0|19|      0.0%|
smpr2|2|0|0|0|2|      0.0%|
sovs2|14|5|0|0|19|      0.0%|
sper |1|1|0|0|2|      0.0%|
sread|9|7|0|0|16|      0.0%|
sref1|1|1|0|0|2|      0.0%|
sres |435|407|0|5|847|      1.2%|
sstor|14|13|0|0|27|      0.0%|
ssw  |12|10|0|0|22|      0.0%|
tgc  |138|89|6|1|234|      0.3%|
till |57|42|0|0|99|      0.1%|
tovs |0|6|0|0|6|      0.0%|
tper |18|3|0|0|21|      0.0%|
tres |38|27|0|0|65|      0.1%|
tvid |16|7|0|0|23|      0.0%|
vesl |10|13|0|0|23|      0.0%|
vgc  |287|166|0|1|454|      0.7%|
vill |0|2|0|0|2|      0.0%|
vovs |5|3|0|0|8|      0.0%|
vref |0|1|0|0|1|      0.0%|
vres |206|179|0|0|385|      0.6%|
vsff |2|2|0|0|4|      0.0%|
