CIRCULATION ACTIVITY by ITEM LOCATION (Feb 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|51|53|0|0|104|      0.1%|
cjcir|262|142|27|1|432|      0.6%|
cjmrs|14|11|0|0|25|      0.0%|
cjpbk|24|27|0|0|51|      0.1%|
cjref|0|1|0|0|1|      0.0%|
cjres|126|123|0|0|249|      0.4%|
cjsup|50|50|0|0|100|      0.1%|
cmavs|69|45|2|0|116|      0.2%|
cmcir|659|379|9|0|1047|      1.5%|
cmjuv|42|24|0|1|67|      0.1%|
cmmrs|40|28|2|0|70|      0.1%|
cmovs|34|17|0|0|51|      0.1%|
cmpbk|23|14|0|0|37|      0.1%|
cmref|17|10|0|0|27|      0.0%|
cmres|798|794|0|0|1592|      2.2%|
cmrrf|3|2|0|0|5|      0.0%|
cmsup|2132|2096|0|0|4228|      6.0%|
cnmr |0|1|0|0|1|      0.0%|
cravs|0|3|0|0|3|      0.0%|
crcir|24|13|5|1|43|      0.1%|
crref|1|1|0|0|2|      0.0%|
crres|40|39|0|0|79|      0.1%|
crsup|18|18|0|0|36|      0.1%|
ctcir|17|9|0|0|26|      0.0%|
cvavs|6|1|0|0|7|      0.0%|
cvcir|4|2|3|0|9|      0.0%|
cvmrs|1|0|0|0|1|      0.0%|
cvres|3|3|0|0|6|      0.0%|
cvsup|3|3|0|0|6|      0.0%|
cwavs|3|2|2|0|7|      0.0%|
cwcir|34|18|6|0|58|      0.1%|
cwjuv|9|7|0|0|16|      0.0%|
cwmrs|3|3|2|0|8|      0.0%|
cwref|2|1|0|0|3|      0.0%|
cwres|223|220|0|0|443|      0.6%|
cwsup|261|249|0|0|510|      0.7%|
eatla|1|1|0|0|2|      0.0%|
eaubk|14|18|0|0|32|      0.0%|
edcab|1|0|0|0|1|      0.0%|
edf  |9|1|0|0|10|      0.0%|
edocs|2|1|0|0|3|      0.0%|
egen |577|326|0|0|903|      1.3%|
eirc |367|69|0|0|436|      0.6%|
eircb|43|18|0|0|61|      0.1%|
ejuv |160|115|0|0|275|      0.4%|
emsv |45|27|0|0|72|      0.1%|
emsx |0|1|0|0|1|      0.0%|
eover|11|2|0|0|13|      0.0%|
erav |12|16|0|0|28|      0.0%|
eref |5|0|0|0|5|      0.0%|
eresv|55|54|0|0|109|      0.2%|
ergen|23|20|0|0|43|      0.1%|
esarc|2|1|0|0|3|      0.0%|
esswo|16|11|0|0|27|      0.0%|
eswlo|156|73|0|0|229|      0.3%|
faccs|123|122|0|0|245|      0.3%|
fadap|131|131|0|0|262|      0.4%|
fav  |104|63|0|0|167|      0.2%|
fdvd |1959|1461|12|18|3450|      4.9%|
fgc  |2048|996|32|58|3134|      4.4%|
flap |166|162|0|0|328|      0.5%|
fmin |18|5|0|0|23|      0.0%|
fmous|24|24|0|0|48|      0.1%|
fovs |12|1|0|1|14|      0.0%|
fper |4|2|0|0|6|      0.0%|
fread|12|12|0|0|24|      0.0%|
fref |2|1|0|0|3|      0.0%|
fres |211|200|1|0|412|      0.6%|
froom|654|572|0|0|1226|      1.7%|
fsrec|408|290|0|1|699|      1.0%|
fsto1|10|1|0|0|11|      0.0%|
fstor|43|35|6|1|85|      0.1%|
fxx  |55|41|1|0|97|      0.1%|
fxxov|1|0|0|0|1|      0.0%|
gcd  |7|4|0|0|11|      0.0%|
ggc  |393|252|0|0|645|      0.9%|
govs |1|0|0|0|1|      0.0%|
gpop |38|28|0|0|66|      0.1%|
gres |584|540|0|0|1124|      1.6%|
gsc  |1|1|0|0|2|      0.0%|
gtran|68|47|0|0|115|      0.2%|
gvid |83|68|0|0|151|      0.2%|
haud |6|4|0|0|10|      0.0%|
hcdrm|4|1|0|0|5|      0.0%|
hgdus|3|1|0|0|4|      0.0%|
hgen |600|205|1|1|807|      1.1%|
hjuv |56|26|0|0|82|      0.1%|
hover|13|10|0|0|23|      0.0%|
hvid |162|96|2|0|260|      0.4%|
iav  |235|212|3|3|453|      0.6%|
icirc|434|257|7|1|699|      1.0%|
inc  |11|14|0|0|25|      0.0%|
iper |7|7|0|0|14|      0.0%|
iref |1|1|0|0|2|      0.0%|
ires |129|116|0|0|245|      0.3%|
nccgc|364|121|0|0|485|      0.7%|
nccq |2|1|0|0|3|      0.0%|
nccr |1|1|0|0|2|      0.0%|
nccv |30|5|0|0|35|      0.0%|
ncegc|1|0|0|0|1|      0.0%|
paccs|21|16|0|0|37|      0.1%|
padap|28|26|0|0|54|      0.1%|
pgc  |7|3|1|0|11|      0.0%|
pgcll|320|160|7|11|498|      0.7%|
phres|1|1|0|0|2|      0.0%|
plap |324|309|0|0|633|      0.9%|
pmous|38|37|0|0|75|      0.1%|
pread|12|7|0|0|19|      0.0%|
pres |177|172|0|0|349|      0.5%|
proom|317|311|0|0|628|      0.9%|
rgen |60|48|0|0|108|      0.2%|
rres |2|0|0|0|2|      0.0%|
saccs|31|30|0|0|61|      0.1%|
sadap|32|32|0|0|64|      0.1%|
sav  |0|13|0|0|13|      0.0%|
sel  |4|0|0|0|4|      0.0%|
sethe|1|1|0|0|2|      0.0%|
sfc  |47|12|0|0|59|      0.1%|
sfcab|55|32|1|0|88|      0.1%|
sfcar|2|1|0|0|3|      0.0%|
sfccd|81|58|0|0|139|      0.2%|
sfcdv|794|660|1|0|1455|      2.1%|
sfcgc|713|418|3|0|1134|      1.6%|
sfcin|2|3|0|0|5|      0.0%|
sfcm |6|5|0|0|11|      0.0%|
sfcmf|2|1|0|0|3|      0.0%|
sfco |27|7|0|0|34|      0.0%|
sfcrf|1|1|0|0|2|      0.0%|
sfcrv|741|737|6|0|1484|      2.1%|
sfctd|14|11|0|0|25|      0.0%|
sfigc|40|31|0|0|71|      0.1%|
sgc  |18|3|4|0|25|      0.0%|
sgc2 |1250|625|28|27|1930|      2.7%|
sgov |3|0|0|0|3|      0.0%|
slap |724|717|0|0|1441|      2.0%|
smapg|2|0|0|0|2|      0.0%|
smfmm|17|0|0|0|17|      0.0%|
smous|90|89|0|0|179|      0.3%|
smpg2|33|17|0|0|50|      0.1%|
sovs2|3|4|0|0|7|      0.0%|
sper |1|2|0|0|3|      0.0%|
sread|20|20|0|0|40|      0.1%|
sref1|2|3|0|0|5|      0.0%|
sres |587|538|0|1|1126|      1.6%|
sstor|13|4|0|0|17|      0.0%|
ssw  |2|1|0|0|3|      0.0%|
tgc  |187|87|0|0|274|      0.4%|
till |47|33|0|0|80|      0.1%|
tovs |3|2|0|0|5|      0.0%|
tper |18|4|0|0|22|      0.0%|
tres |31|28|0|0|59|      0.1%|
tvid |12|7|0|0|19|      0.0%|
vesl |3|1|0|0|4|      0.0%|
vgc  |280|169|0|0|449|      0.6%|
vill |9|0|0|0|9|      0.0%|
vref |2|0|0|0|2|      0.0%|
vres |208|195|0|0|403|      0.6%|
vsff |8|2|0|0|10|      0.0%|
vttf |0|1|0|0|1|      0.0%|
vvid |103|88|2|0|193|      0.3%|
zaccs|12|13|0|0|25|      0.0%|
zadap|393|381|0|0|774|      1.1%|
zav  |2|0|0|0|2|      0.0%|
