CIRCULATION ACTIVITY by ITEM LOCATION (Mar 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|31|27|0|0|58|      0.1%|
cjcir|347|174|35|1|557|      0.9%|
cjmrs|32|18|5|0|55|      0.1%|
cjpbk|22|15|1|0|38|      0.1%|
cjres|87|87|0|0|174|      0.3%|
cjsup|80|59|1|0|140|      0.2%|
cmavs|42|48|3|0|93|      0.1%|
cmcir|763|519|34|1|1317|      2.0%|
cmjuv|47|41|0|0|88|      0.1%|
cmmrs|36|29|6|0|71|      0.1%|
cmovs|9|15|0|0|24|      0.0%|
cmpbk|48|39|0|0|87|      0.1%|
cmref|24|8|0|0|32|      0.0%|
cmres|466|465|0|0|931|      1.4%|
cmsup|1694|1667|0|0|3361|      5.2%|
cravs|1|1|0|0|2|      0.0%|
crcir|28|18|3|0|49|      0.1%|
crres|25|25|0|0|50|      0.1%|
crsup|7|7|0|0|14|      0.0%|
ctcir|15|8|0|0|23|      0.0%|
ctref|1|1|0|0|2|      0.0%|
ctres|1|1|0|0|2|      0.0%|
cvavs|9|9|0|0|18|      0.0%|
cvcir|10|6|7|0|23|      0.0%|
cvjuv|1|0|1|0|2|      0.0%|
cvmrs|2|2|0|0|4|      0.0%|
cvsup|1|1|0|0|2|      0.0%|
cwavs|2|3|0|0|5|      0.0%|
cwcir|57|44|13|0|114|      0.2%|
cwjuv|13|11|0|0|24|      0.0%|
cwmrs|6|6|0|0|12|      0.0%|
cwres|120|117|0|0|237|      0.4%|
cwsup|167|164|0|0|331|      0.5%|
eaubk|7|7|0|0|14|      0.0%|
edf  |3|4|0|0|7|      0.0%|
edn  |3|3|0|0|6|      0.0%|
edocs|1|1|0|0|2|      0.0%|
edtpo|3|3|0|0|6|      0.0%|
egen |650|326|0|0|976|      1.5%|
eirc |124|138|0|0|262|      0.4%|
eircb|31|0|0|0|31|      0.0%|
ejuv |209|140|0|0|349|      0.5%|
emsv |77|41|0|0|118|      0.2%|
eover|11|4|0|0|15|      0.0%|
erav |6|6|0|0|12|      0.0%|
eref |18|3|0|0|21|      0.0%|
eresv|32|32|0|0|64|      0.1%|
ergen|29|19|0|0|48|      0.1%|
esarc|1|0|0|0|1|      0.0%|
esslg|1|0|0|0|1|      0.0%|
esswo|27|11|0|0|38|      0.1%|
eswlo|147|107|0|0|254|      0.4%|
faccs|139|132|0|0|271|      0.4%|
fadap|71|71|0|0|142|      0.2%|
fal  |0|0|1|0|1|      0.0%|
fav  |48|42|1|0|91|      0.1%|
fcda |2|1|0|0|3|      0.0%|
fdvd |1988|1398|31|23|3440|      5.3%|
fgc  |2186|1244|29|61|3520|      5.4%|
flap |119|117|0|0|236|      0.4%|
fmin |8|17|0|0|25|      0.0%|
fmous|12|12|0|0|24|      0.0%|
fovs |7|2|1|0|10|      0.0%|
fper |0|1|0|0|1|      0.0%|
fread|14|13|0|0|27|      0.0%|
fref |2|1|0|0|3|      0.0%|
fres |206|187|1|0|394|      0.6%|
froom|571|515|0|0|1086|      1.7%|
fsrec|478|346|2|1|827|      1.3%|
fsto1|12|4|2|0|18|      0.0%|
fsto2|2|0|0|0|2|      0.0%|
fstor|32|22|1|0|55|      0.1%|
fxx  |112|46|0|0|158|      0.2%|
fxxov|6|3|0|0|9|      0.0%|
gcd  |0|5|0|0|5|      0.0%|
ggc  |474|322|0|0|796|      1.2%|
govs |2|1|0|0|3|      0.0%|
gpop |39|31|0|0|70|      0.1%|
gres |453|419|0|0|872|      1.3%|
gtran|47|27|0|0|74|      0.1%|
gvid |77|76|0|0|153|      0.2%|
harch|0|4|0|0|4|      0.0%|
haud |2|2|0|0|4|      0.0%|
hcdrm|2|1|0|0|3|      0.0%|
hgen |399|315|0|2|716|      1.1%|
hjuv |35|25|0|0|60|      0.1%|
hover|16|7|0|0|23|      0.0%|
href |3|0|0|0|3|      0.0%|
hvid |138|77|1|0|216|      0.3%|
iav  |173|150|1|0|324|      0.5%|
icirc|352|260|1|1|614|      0.9%|
inc  |5|2|1|0|8|      0.0%|
iper |1|0|0|0|1|      0.0%|
ires |81|78|0|0|159|      0.2%|
ncccd|2|0|0|0|2|      0.0%|
nccgc|204|98|0|0|302|      0.5%|
nccq |2|1|0|0|3|      0.0%|
nccv |15|4|0|0|19|      0.0%|
paccs|22|18|0|0|40|      0.1%|
padap|23|22|0|0|45|      0.1%|
pgc  |7|4|0|0|11|      0.0%|
pgcll|389|226|13|9|637|      1.0%|
phres|1|0|0|0|1|      0.0%|
plap |277|275|0|0|552|      0.9%|
pml  |1|1|0|0|2|      0.0%|
pmous|42|42|0|0|84|      0.1%|
pread|12|7|0|0|19|      0.0%|
pref |1|0|0|0|1|      0.0%|
pres |160|157|0|0|317|      0.5%|
proom|322|310|0|0|632|      1.0%|
rgen |66|48|0|0|114|      0.2%|
saccs|43|44|0|0|87|      0.1%|
sadap|46|46|0|0|92|      0.1%|
sel  |3|3|0|0|6|      0.0%|
sethe|3|3|0|0|6|      0.0%|
sfc  |33|19|0|0|52|      0.1%|
sfcab|80|59|0|0|139|      0.2%|
sfcar|2|2|0|0|4|      0.0%|
sfccd|40|44|0|0|84|      0.1%|
sfcdv|516|479|2|0|997|      1.5%|
sfcgc|623|505|4|0|1132|      1.7%|
sfcin|1|1|0|0|2|      0.0%|
sfcm |2|3|0|0|5|      0.0%|
sfco |19|16|0|0|35|      0.1%|
sfcrv|404|381|0|0|785|      1.2%|
sfctd|7|6|0|0|13|      0.0%|
sfigc|27|25|0|0|52|      0.1%|
sfitc|1|0|0|0|1|      0.0%|
sgc  |34|7|6|5|52|      0.1%|
sgc2 |1065|834|21|27|1947|      3.0%|
sgov |9|1|0|0|10|      0.0%|
slap |639|630|0|0|1269|      2.0%|
smapg|1|0|0|0|1|      0.0%|
smous|78|78|0|0|156|      0.2%|
smpg2|11|1|0|0|12|      0.0%|
smpr2|2|0|0|0|2|      0.0%|
sovs2|7|2|0|0|9|      0.0%|
sper |3|2|0|0|5|      0.0%|
sread|20|22|0|0|42|      0.1%|
sres |366|349|0|5|720|      1.1%|
sstor|14|9|1|0|24|      0.0%|
ssw  |1|0|0|0|1|      0.0%|
tgc  |146|73|1|1|221|      0.3%|
till |51|30|0|0|81|      0.1%|
tovs |1|0|0|0|1|      0.0%|
tper |21|6|0|0|27|      0.0%|
tres |18|13|0|0|31|      0.0%|
tvid |39|11|0|0|50|      0.1%|
vesl |7|3|0|0|10|      0.0%|
vgc  |389|276|1|0|666|      1.0%|
vill |16|8|0|0|24|      0.0%|
vovs |6|1|0|0|7|      0.0%|
vref |3|0|0|0|3|      0.0%|
vres |168|156|0|0|324|      0.5%|
vsff |5|2|0|0|7|      0.0%|
vttf |5|2|0|0|7|      0.0%|
vvid |80|68|0|0|148|      0.2%|
zaccs|17|17|0|0|34|      0.1%|
zadap|393|384|0|0|777|      1.2%|
zav  |4|2|0|0|6|      0.0%|
zcsan|2|2|0|0|4|      0.0%|
zcsmm|32|33|0|0|65|      0.1%|
zcsov|16|9|0|0|25|      0.0%|
zcstd|6|9|0|0|15|      0.0%|
zcswr|320|256|0|0|576|      0.9%|
zethe|4|4|0|0|8|      0.0%|
zgc  |193|41|50|4|288|      0.4%|
zgc2 |3608|2300|61|136|6105|      9.4%|
zgc3 |2946|1898|66|82|4992|      7.7%|
zgov |19|8|1|0|28|      0.0%|
zgovp|0|1|1|0|2|      0.0%|
zgvcd|0|2|0|0|2|      0.0%|
zim  |9|4|1|0|14|      0.0%|
zjv  |758|643|6|6|1413|      2.2%|
zjvl |19|19|0|2|40|      0.1%|
zlap |2721|2689|0|0|5410|      8.3%|
zlarg|14|17|1|0|32|      0.0%|
zmfmm|3|4|0|0|7|      0.0%|
zmous|117|117|0|0|234|      0.4%|
zovs |5|2|0|0|7|      0.0%|
zper |16|7|0|0|23|      0.0%|
zpww |61|41|0|1|103|      0.2%|
zrdsk|0|0|1|0|1|      0.0%|
zread|44|42|0|0|86|      0.1%|
zref |0|1|0|0|1|      0.0%|
zref1|1|1|0|0|2|      0.0%|
zres |571|560|0|0|1131|      1.7%|
zroom|1622|1507|0|0|3129|      4.8%|
zstor|17|13|1|1|32|      0.0%|
ztwr |2|1|0|0|3|      0.0%|
zww  |19|10|0|1|30|      0.0%|
3cd  |7|3|0|0|10|      0.0%|
3dvd |562|541|0|0|1103|      1.7%|
3dvdx|2|0|0|0|2|      0.0%|
3gc  |542|293|23|1|859|      1.3%|
3govt|3|1|0|0|4|      0.0%|
3maps|11|0|0|0|11|      0.0%|
3ovs |1|2|0|0|3|      0.0%|
3ref |1|1|0|0|2|      0.0%|
3res |286|278|0|0|564|      0.9%|
3spnm|1|1|0|0|2|      0.0%|
3thes|6|1|0|0|7|      0.0%|
3vert|29|14|0|0|43|      0.1%|
6av  |2|0|0|0|2|      0.0%|
6clas|116|113|0|0|229|      0.4%|
6faco|1|0|0|0|1|      0.0%|
6ind |4|15|1|0|20|      0.0%|
6latn|1|0|0|0|1|      0.0%|
6lrfl|185|94|6|1|286|      0.4%|
6lsar|2|1|0|0|3|      0.0%|
6nmex|3|1|0|0|4|      0.0%|
6ref |3|2|0|0|5|      0.0%|
6refp|2|2|0|0|4|      0.0%|
6uftr|3|0|0|0|3|      0.0%|
6upfl|2|0|0|0|2|      0.0%|
7ave |74|74|0|0|148|      0.2%|
7cd  |2|0|0|0|2|      0.0%|
7dvd |11|2|0|0|13|      0.0%|
7gc  |40|17|0|0|57|      0.1%|
7res |17|17|0|0|34|      0.1%|
8agen|1|5|1|0|7|      0.0%|
8avid|4|1|0|0|5|      0.0%|
8gen |0|4|0|0|4|      0.0%|
8vid |0|1|0|0|1|      0.0%|
Blank Branch|1|0|2|0|3|      0.0%|
Total|35973|28017|453|372|64815|    100.0%|
