CIRCULATION ACTIVITY by ITEM LOCATION (Apr 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|57|62|2|0|121|      0.1%|
cjcir|396|428|16|0|840|      1.0%|
cjmrs|20|23|2|0|45|      0.1%|
cjpbk|16|21|0|0|37|      0.0%|
cjres|93|92|0|0|185|      0.2%|
cjsup|74|74|0|0|148|      0.2%|
cmavs|46|50|2|0|98|      0.1%|
cmcir|877|856|9|0|1742|      2.0%|
cmjuv|31|49|0|0|80|      0.1%|
cmmrs|41|38|6|0|85|      0.1%|
cmovs|2|11|0|0|13|      0.0%|
cmpbk|17|17|0|0|34|      0.0%|
cmref|36|22|0|0|58|      0.1%|
cmres|450|446|0|0|896|      1.0%|
cmrrf|3|1|0|0|4|      0.0%|
cmsup|2718|2676|0|0|5394|      6.1%|
cravs|6|4|2|0|12|      0.0%|
crcir|31|24|2|0|57|      0.1%|
crres|15|14|0|0|29|      0.0%|
crsup|6|4|0|0|10|      0.0%|
ctcir|8|13|2|0|23|      0.0%|
ctres|1|1|0|0|2|      0.0%|
cvavs|12|10|0|0|22|      0.0%|
cvcir|18|18|4|0|40|      0.0%|
cvjuv|2|3|0|0|5|      0.0%|
cvref|1|1|0|0|2|      0.0%|
cvres|1|1|0|0|2|      0.0%|
cvsup|7|7|0|0|14|      0.0%|
cwavs|2|1|0|0|3|      0.0%|
cwcir|51|69|6|0|126|      0.1%|
cwjuv|2|2|0|0|4|      0.0%|
cwmrs|7|7|0|0|14|      0.0%|
cwref|1|1|1|0|3|      0.0%|
cwres|176|173|0|0|349|      0.4%|
cwsup|283|280|0|0|563|      0.6%|
eatla|2|0|0|0|2|      0.0%|
eaubk|11|13|0|0|24|      0.0%|
edf  |15|4|0|0|19|      0.0%|
edn  |2|0|0|0|2|      0.0%|
egen |932|497|1|0|1430|      1.6%|
eirc |123|252|0|0|375|      0.4%|
eircb|19|39|0|0|58|      0.1%|
ejuv |254|184|0|0|438|      0.5%|
emsv |80|81|0|0|161|      0.2%|
enmpo|1|0|0|0|1|      0.0%|
eover|10|5|0|0|15|      0.0%|
eper |10|1|0|0|11|      0.0%|
erav |18|15|0|0|33|      0.0%|
eref |11|7|0|0|18|      0.0%|
eresv|44|41|0|0|85|      0.1%|
ergen|25|18|0|0|43|      0.0%|
esarc|0|0|1|0|1|      0.0%|
esslg|0|1|0|0|1|      0.0%|
esswo|35|27|0|0|62|      0.1%|
eswlg|4|2|0|0|6|      0.0%|
eswlo|140|89|0|0|229|      0.3%|
faccs|193|186|0|0|379|      0.4%|
fadap|121|114|0|0|235|      0.3%|
fav  |89|40|0|0|129|      0.1%|
fcda |4|3|1|0|8|      0.0%|
fdvd |2295|1799|77|50|4221|      4.8%|
fethe|1|1|0|0|2|      0.0%|
fgc  |2286|2008|18|66|4378|      5.0%|
flap |182|175|0|0|357|      0.4%|
fmin |16|7|0|1|24|      0.0%|
fmous|21|20|0|0|41|      0.0%|
fovs |4|3|0|0|7|      0.0%|
fread|12|10|0|0|22|      0.0%|
fref |0|1|0|0|1|      0.0%|
fres |446|429|0|0|875|      1.0%|
froom|742|652|0|0|1394|      1.6%|
fsrec|518|358|7|3|886|      1.0%|
fsto1|11|12|0|0|23|      0.0%|
fstor|68|35|0|0|103|      0.1%|
fxx  |190|90|0|2|282|      0.3%|
fxxov|20|6|0|1|27|      0.0%|
gcd  |1|1|0|0|2|      0.0%|
ggc  |822|607|0|0|1429|      1.6%|
gnmdc|2|1|0|0|3|      0.0%|
govs |1|1|0|0|2|      0.0%|
gpop |57|50|0|0|107|      0.1%|
gres |714|663|0|0|1377|      1.6%|
gsc  |10|8|0|0|18|      0.0%|
gtran|90|79|0|0|169|      0.2%|
gvid |136|134|0|0|270|      0.3%|
haud |0|1|0|0|1|      0.0%|
hcdrm|0|1|0|0|1|      0.0%|
hgdus|0|1|0|0|1|      0.0%|
hgen |712|477|2|1|1192|      1.4%|
hjuv |39|38|0|6|83|      0.1%|
hover|13|17|1|0|31|      0.0%|
href |0|1|0|0|1|      0.0%|
hvid |171|117|0|0|288|      0.3%|
iav  |192|178|0|1|371|      0.4%|
icirc|374|321|0|1|696|      0.8%|
inc  |5|7|0|0|12|      0.0%|
iper |2|2|0|0|4|      0.0%|
ires |32|34|0|0|66|      0.1%|
ncccd|3|1|0|0|4|      0.0%|
nccgc|374|265|0|0|639|      0.7%|
nccq |7|3|0|0|10|      0.0%|
nccrs|3|1|0|0|4|      0.0%|
nccv |9|7|0|0|16|      0.0%|
paccs|30|26|0|0|56|      0.1%|
padap|44|44|0|0|88|      0.1%|
pgc  |4|1|1|0|6|      0.0%|
pgcll|366|339|5|11|721|      0.8%|
plap |529|522|0|0|1051|      1.2%|
pmous|72|72|0|0|144|      0.2%|
pread|16|12|0|0|28|      0.0%|
pres |293|282|0|0|575|      0.7%|
proom|571|550|0|0|1121|      1.3%|
rav  |0|1|0|0|1|      0.0%|
rgen |154|82|0|0|236|      0.3%|
rres |0|1|0|0|1|      0.0%|
saccs|26|25|0|0|51|      0.1%|
sadap|34|34|0|0|68|      0.1%|
sel  |5|1|0|0|6|      0.0%|
sethe|1|1|0|0|2|      0.0%|
sfc  |45|14|0|0|59|      0.1%|
sfcab|81|62|0|0|143|      0.2%|
sfcar|1|3|0|0|4|      0.0%|
sfccd|44|62|0|0|106|      0.1%|
sfcdv|602|578|4|0|1184|      1.3%|
sfcgc|837|714|7|0|1558|      1.8%|
sfcin|12|3|0|0|15|      0.0%|
sfcm |6|6|0|0|12|      0.0%|
sfco |27|22|0|0|49|      0.1%|
sfcrv|476|465|0|0|941|      1.1%|
sfctd|17|11|0|1|29|      0.0%|
sfigc|108|21|0|0|129|      0.1%|
sfinn|2|0|0|0|2|      0.0%|
sfitc|0|1|0|0|1|      0.0%|
sgc  |24|3|6|1|34|      0.0%|
sgc2 |1235|897|9|25|2166|      2.5%|
sgov |3|5|0|0|8|      0.0%|
slap |835|832|0|0|1667|      1.9%|
smfme|1|0|0|0|1|      0.0%|
smous|99|98|0|0|197|      0.2%|
smpg2|17|3|0|0|20|      0.0%|
sovs2|5|6|0|1|12|      0.0%|
sper |2|1|0|0|3|      0.0%|
sread|18|15|0|0|33|      0.0%|
sref1|2|0|0|0|2|      0.0%|
sres |433|416|0|0|849|      1.0%|
sstor|7|9|0|0|16|      0.0%|
ssw  |1|1|0|0|2|      0.0%|
tcd  |4|4|0|0|8|      0.0%|
tgc  |206|138|4|0|348|      0.4%|
till |65|49|0|0|114|      0.1%|
tovs |6|2|0|0|8|      0.0%|
tper |12|11|0|0|23|      0.0%|
tres |16|12|1|0|29|      0.0%|
tvid |25|17|0|0|42|      0.0%|
vesl |11|2|1|0|14|      0.0%|
vgc  |478|252|0|0|730|      0.8%|
vill |22|8|0|0|30|      0.0%|
vovs |7|4|0|0|11|      0.0%|
vper |3|3|0|0|6|      0.0%|
vref |1|2|0|0|3|      0.0%|
vres |196|184|0|0|380|      0.4%|
vsff |5|6|0|0|11|      0.0%|
vttf |3|3|0|0|6|      0.0%|
vvid |130|100|0|0|230|      0.3%|
zaccs|15|15|0|0|30|      0.0%|
zadap|852|806|0|0|1658|      1.9%|
zav  |5|1|0|0|6|      0.0%|
zcsan|4|4|0|0|8|      0.0%|
zcsav|5|6|0|0|11|      0.0%|
zcsfa|1|1|0|0|2|      0.0%|
zcsma|3|0|0|0|3|      0.0%|
zcsmm|25|29|0|0|54|      0.1%|
zcsov|7|8|0|0|15|      0.0%|
zcstd|11|10|0|0|21|      0.0%|
zcsua|2|2|0|0|4|      0.0%|
zcswr|342|374|0|0|716|      0.8%|
zethe|9|9|0|0|18|      0.0%|
zgc  |277|120|34|3|434|      0.5%|
zgc-2|2|0|0|0|2|      0.0%|
zgc2 |4631|3151|74|120|7976|      9.1%|
zgc3 |3423|2585|75|66|6149|      7.0%|
zgov |14|14|2|0|30|      0.0%|
zgv  |1|0|0|0|1|      0.0%|
zgv-2|0|1|0|0|1|      0.0%|
zim  |8|9|0|0|17|      0.0%|
zjv  |1082|936|3|4|2025|      2.3%|
zjvl |18|15|1|0|34|      0.0%|
zjvo |1|0|0|0|1|      0.0%|
zlap |4232|4096|0|0|8328|      9.5%|
zlarg|27|18|1|0|46|      0.1%|
zmfmm|1|1|0|0|2|      0.0%|
zmous|164|161|0|0|325|      0.4%|
zovs |4|3|0|0|7|      0.0%|
zper |10|16|0|0|26|      0.0%|
zpww |71|62|0|0|133|      0.2%|
zread|46|41|0|0|87|      0.1%|
zres |717|704|0|0|1421|      1.6%|
zroom|2328|2136|0|0|4464|      5.1%|
zstor|21|19|7|0|47|      0.1%|
ztwr |9|3|1|0|13|      0.0%|
zww  |37|17|2|1|57|      0.1%|
3cd  |3|6|0|0|9|      0.0%|
3dvd |470|448|0|0|918|      1.0%|
3dvdx|0|5|0|0|5|      0.0%|
3gc  |517|474|13|1|1005|      1.1%|
3govm|1|0|0|0|1|      0.0%|
3govt|4|8|0|0|12|      0.0%|
3maps|1|11|0|0|12|      0.0%|
3micr|1|0|0|0|1|      0.0%|
3ovs |4|0|0|0|4|      0.0%|
3res |453|486|0|0|939|      1.1%|
3spec|1|1|0|0|2|      0.0%|
3thes|5|8|0|0|13|      0.0%|
3vert|61|63|0|0|124|      0.1%|
6av  |1|4|0|0|5|      0.0%|
6clas|174|162|0|0|336|      0.4%|
6desk|3|2|0|0|5|      0.0%|
6ind |3|3|0|0|6|      0.0%|
6latn|2|5|0|0|7|      0.0%|
6lrfl|126|129|0|1|256|      0.3%|
6nmex|0|1|0|0|1|      0.0%|
6ref |1|2|0|0|3|      0.0%|
6refp|0|1|0|0|1|      0.0%|
6uftr|13|4|0|0|17|      0.0%|
6upfl|0|1|0|0|1|      0.0%|
7ave |128|128|0|0|256|      0.3%|
7dvd |4|3|0|0|7|      0.0%|
7gc  |61|35|0|0|96|      0.1%|
7res |5|5|0|0|10|      0.0%|
8agen|5|5|0|0|10|      0.0%|
8avid|0|1|0|0|1|      0.0%|
8gen |7|11|0|0|18|      0.0%|
Blank Branch|0|1|3|0|4|      0.0%|
Total|46965|40164|416|367|87912|    100.0%|
