CIRCULATION ACTIVITY by ITEM LOCATION (May 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|18|14|0|0|32|      0.0%|
cjcir|166|208|18|0|392|      0.5%|
cjmrs|14|5|0|0|19|      0.0%|
cjpbk|16|21|0|0|37|      0.0%|
cjres|64|64|0|0|128|      0.2%|
cjsup|19|19|0|0|38|      0.1%|
cmavs|41|36|1|0|78|      0.1%|
cmcir|457|439|16|1|913|      1.2%|
cmjuv|12|18|2|0|32|      0.0%|
cmmrs|25|16|0|0|41|      0.1%|
cmovs|0|2|0|0|2|      0.0%|
cmpbk|25|10|0|0|35|      0.0%|
cmref|12|7|0|0|19|      0.0%|
cmres|437|430|0|0|867|      1.2%|
cmsup|537|536|0|0|1073|      1.4%|
cravs|0|1|0|0|1|      0.0%|
crcir|21|18|3|1|43|      0.1%|
crmrs|1|1|0|0|2|      0.0%|
crres|3|3|0|0|6|      0.0%|
crsup|1|3|0|0|4|      0.0%|
ctcir|5|5|0|0|10|      0.0%|
cvavs|4|2|1|0|7|      0.0%|
cvcir|14|6|1|0|21|      0.0%|
cwcir|36|18|2|0|56|      0.1%|
cwjuv|1|4|1|0|6|      0.0%|
cwmrs|10|6|0|0|16|      0.0%|
cwres|78|79|0|0|157|      0.2%|
cwsup|45|41|0|0|86|      0.1%|
eatla|1|1|0|0|2|      0.0%|
eaubk|20|8|0|0|28|      0.0%|
edcab|1|1|0|0|2|      0.0%|
edf  |3|11|0|0|14|      0.0%|
edn  |3|1|0|0|4|      0.0%|
egen |584|642|1|0|1227|      1.6%|
eirc |81|53|0|0|134|      0.2%|
eircb|14|10|0|0|24|      0.0%|
ejuv |77|117|0|0|194|      0.3%|
emsv |42|38|0|0|80|      0.1%|
enmpe|2|0|0|0|2|      0.0%|
enmpo|1|1|0|0|2|      0.0%|
eover|7|7|0|0|14|      0.0%|
eper |6|4|0|0|10|      0.0%|
erav |4|2|0|0|6|      0.0%|
eref |0|1|0|0|1|      0.0%|
eresv|7|7|0|0|14|      0.0%|
ergen|10|20|0|0|30|      0.0%|
esarc|3|1|0|0|4|      0.0%|
esswo|43|24|0|0|67|      0.1%|
eswlo|129|82|0|0|211|      0.3%|
faccs|94|92|0|0|186|      0.2%|
fadap|60|59|0|0|119|      0.2%|
fal  |1|0|0|0|1|      0.0%|
fav  |37|57|0|1|95|      0.1%|
fcda |0|2|0|0|2|      0.0%|
fdvd |1959|1594|53|41|3647|      4.9%|
fethe|1|1|0|0|2|      0.0%|
fgc  |2941|3179|27|25|6172|      8.3%|
flap |77|75|0|0|152|      0.2%|
fmin |14|29|0|0|43|      0.1%|
fmous|7|7|0|0|14|      0.0%|
fovs |4|19|0|0|23|      0.0%|
fper |1|1|0|0|2|      0.0%|
fread|7|8|0|0|15|      0.0%|
fref |1|1|0|0|2|      0.0%|
fres |87|78|0|0|165|      0.2%|
froom|333|272|0|0|605|      0.8%|
fsrec|548|484|7|2|1041|      1.4%|
fsto1|14|13|0|0|27|      0.0%|
fsto2|0|2|0|0|2|      0.0%|
fstor|38|58|0|0|96|      0.1%|
fxx  |63|68|0|0|131|      0.2%|
fxxov|3|5|1|0|9|      0.0%|
gcd  |2|1|0|0|3|      0.0%|
ggc  |260|646|0|0|906|      1.2%|
govs |1|0|0|0|1|      0.0%|
gpop |53|46|0|0|99|      0.1%|
gres |299|282|0|0|581|      0.8%|
gsc  |2|3|0|0|5|      0.0%|
gtran|52|67|0|0|119|      0.2%|
gvid |49|59|0|0|108|      0.1%|
hart |7|0|0|0|7|      0.0%|
haud |6|2|0|0|8|      0.0%|
hcdrm|2|7|0|0|9|      0.0%|
hgen |488|1078|1|4|1571|      2.1%|
hjuv |47|66|0|1|114|      0.2%|
hover|25|27|1|0|53|      0.1%|
hvid |151|122|0|0|273|      0.4%|
iaia |1|1|0|0|2|      0.0%|
iav  |70|77|0|0|147|      0.2%|
icirc|120|306|0|0|426|      0.6%|
inc  |0|1|0|0|1|      0.0%|
iper |0|1|0|0|1|      0.0%|
iref |4|2|0|0|6|      0.0%|
ires |13|14|0|0|27|      0.0%|
lbgc |0|0|1|0|1|      0.0%|
ncccd|3|2|1|0|6|      0.0%|
nccgc|282|223|0|1|506|      0.7%|
nccq |2|3|0|0|5|      0.0%|
nccr |3|2|0|0|5|      0.0%|
nccv |27|5|0|0|32|      0.0%|
ncegc|3|1|0|0|4|      0.0%|
paccs|23|18|0|0|41|      0.1%|
padap|13|11|0|0|24|      0.0%|
pethe|1|1|0|0|2|      0.0%|
pgc  |2|1|0|0|3|      0.0%|
pgcll|745|523|2|7|1277|      1.7%|
phres|1|2|0|0|3|      0.0%|
plap |164|163|0|0|327|      0.4%|
pml  |0|2|0|0|2|      0.0%|
pmous|30|29|0|0|59|      0.1%|
pread|14|8|0|0|22|      0.0%|
pref |1|0|0|0|1|      0.0%|
pres |63|64|0|0|127|      0.2%|
proom|210|199|0|0|409|      0.5%|
rav  |30|1|0|0|31|      0.0%|
rgen |23|114|0|0|137|      0.2%|
rres |8|0|0|0|8|      0.0%|
saccs|18|11|0|0|29|      0.0%|
sadap|16|16|0|0|32|      0.0%|
sav  |3|3|0|0|6|      0.0%|
scirc|1|1|0|0|2|      0.0%|
sel  |4|4|0|0|8|      0.0%|
sethe|1|1|0|0|2|      0.0%|
sfc  |11|31|0|0|42|      0.1%|
sfcab|32|65|0|0|97|      0.1%|
sfccd|73|69|1|0|143|      0.2%|
sfcdv|418|434|1|0|853|      1.1%|
sfcgc|449|754|1|0|1204|      1.6%|
sfcin|2|13|0|0|15|      0.0%|
sfco |3|20|0|0|23|      0.0%|
sfcrf|2|0|0|0|2|      0.0%|
sfcrv|337|344|0|0|681|      0.9%|
sfctd|3|5|0|0|8|      0.0%|
sfigc|51|45|0|2|98|      0.1%|
sgc  |21|3|3|0|27|      0.0%|
sgc2 |2879|1891|16|24|4810|      6.5%|
sgov |23|4|0|0|27|      0.0%|
slap |226|221|0|0|447|      0.6%|
smapg|1|1|0|0|2|      0.0%|
smfme|0|1|0|0|1|      0.0%|
smous|18|17|0|0|35|      0.0%|
smpg2|17|9|0|0|26|      0.0%|
smpr2|3|1|0|0|4|      0.0%|
sovs2|6|9|0|0|15|      0.0%|
sread|18|19|0|0|37|      0.0%|
sref1|2|1|0|0|3|      0.0%|
sres |150|136|0|0|286|      0.4%|
sstor|19|9|0|0|28|      0.0%|
ssw  |1|0|0|0|1|      0.0%|
tcd  |3|0|0|0|3|      0.0%|
tgc  |88|109|0|0|197|      0.3%|
till |31|26|0|0|57|      0.1%|
tovs |7|6|0|0|13|      0.0%|
tper |3|0|0|0|3|      0.0%|
tres |3|2|0|0|5|      0.0%|
tvid |9|22|0|0|31|      0.0%|
vaud |2|0|0|0|2|      0.0%|
vesl |11|7|0|0|18|      0.0%|
vgc  |240|323|1|1|565|      0.8%|
vill |27|16|0|0|43|      0.1%|
vovs |42|34|0|0|76|      0.1%|
vref |2|1|0|0|3|      0.0%|
vres |39|46|0|0|85|      0.1%|
vsff |9|12|1|1|23|      0.0%|
vttf |6|6|0|0|12|      0.0%|
vvid |60|63|0|0|123|      0.2%|
zaccs|6|5|0|0|11|      0.0%|
zadap|453|434|0|0|887|      1.2%|
zav  |3|2|0|0|5|      0.0%|
zcsav|1|1|0|0|2|      0.0%|
zcsma|0|2|0|0|2|      0.0%|
zcsmm|6|6|0|0|12|      0.0%|
zcsov|3|8|0|0|11|      0.0%|
zcstd|3|3|0|0|6|      0.0%|
zcswr|135|141|0|0|276|      0.4%|
zethe|7|6|0|0|13|      0.0%|
zgc  |330|203|30|4|567|      0.8%|
zgc-2|5|1|0|0|6|      0.0%|
zgc2 |8182|5917|36|66|14201|     19.1%|
zgc3 |5684|4675|40|44|10443|     14.0%|
zgov |25|29|2|0|56|      0.1%|
zgv-2|0|1|0|0|1|      0.0%|
zgvcd|2|0|0|0|2|      0.0%|
zim  |10|9|0|0|19|      0.0%|
zjv  |505|855|4|3|1367|      1.8%|
zjvl |13|15|0|0|28|      0.0%|
zlap |1647|1625|0|0|3272|      4.4%|
zlarg|17|25|1|0|43|      0.1%|
zmfmm|1|4|0|0|5|      0.0%|
zmous|79|77|0|0|156|      0.2%|
zovs |9|6|0|0|15|      0.0%|
zper |18|6|0|0|24|      0.0%|
zper0|1|0|0|0|1|      0.0%|
zpop |64|28|0|0|92|      0.1%|
zpww |117|96|0|0|213|      0.3%|
zread|38|29|0|0|67|      0.1%|
zref1|4|2|0|0|6|      0.0%|
zres |241|246|0|0|487|      0.7%|
zroom|969|906|0|0|1875|      2.5%|
zstor|52|23|2|0|77|      0.1%|
ztwr |8|6|1|0|15|      0.0%|
zww  |65|32|0|0|97|      0.1%|
3cd  |11|8|0|0|19|      0.0%|
3dvd |404|401|0|0|805|      1.1%|
3dvdx|0|2|1|0|3|      0.0%|
3gc  |451|596|8|1|1056|      1.4%|
3govm|0|1|0|0|1|      0.0%|
3govt|4|9|0|0|13|      0.0%|
3ovs |2|6|0|0|8|      0.0%|
3ref |1|0|0|0|1|      0.0%|
3res |298|572|0|0|870|      1.2%|
3thes|12|11|0|0|23|      0.0%|
3vert|28|36|0|0|64|      0.1%|
6av  |1|1|0|0|2|      0.0%|
6clas|72|71|0|0|143|      0.2%|
6desk|5|3|0|0|8|      0.0%|
6ind |4|1|0|0|5|      0.0%|
6latn|4|0|0|0|4|      0.0%|
6lrfl|220|223|0|2|445|      0.6%|
6nmex|3|0|0|0|3|      0.0%|
6ref |3|1|0|0|4|      0.0%|
6refp|0|1|0|0|1|      0.0%|
6uftr|25|10|1|0|36|      0.0%|
6upfl|2|0|0|0|2|      0.0%|
7ave |33|33|0|0|66|      0.1%|
7cd  |8|0|0|0|8|      0.0%|
7dvd |10|0|0|0|10|      0.0%|
7gc  |22|27|0|0|49|      0.1%|
7ovs |1|0|0|0|1|      0.0%|
7res |2|2|0|0|4|      0.0%|
8agen|17|4|0|0|21|      0.0%|
8gen |3|4|0|0|7|      0.0%|
Blank Branch|0|0|1|0|1|      0.0%|
Total|38429|35585|291|232|74537|    100.0%|
