CIRCULATION ACTIVITY by ITEM LOCATION (Jun 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|46|41|5|0|92|      0.2%|
cjcir|258|134|31|0|423|      0.9%|
cjmrs|25|16|1|0|42|      0.1%|
cjpbk|6|6|0|0|12|      0.0%|
cjres|164|164|0|0|328|      0.7%|
cjsup|37|37|0|0|74|      0.2%|
cmavs|59|40|2|0|101|      0.2%|
cmcir|460|277|13|0|750|      1.7%|
cmjuv|31|14|0|0|45|      0.1%|
cmmrs|44|31|4|0|79|      0.2%|
cmovs|8|1|0|0|9|      0.0%|
cmpbk|15|19|0|0|34|      0.1%|
cmref|17|9|1|0|27|      0.1%|
cmres|830|816|0|0|1646|      3.7%|
cmrrf|1|1|0|0|2|      0.0%|
cmsup|1587|1564|0|0|3151|      7.0%|
cravs|1|0|1|0|2|      0.0%|
crcir|8|13|3|0|24|      0.1%|
crmrs|1|1|0|0|2|      0.0%|
crres|8|8|0|0|16|      0.0%|
crsup|10|10|0|0|20|      0.0%|
ctcir|4|2|3|0|9|      0.0%|
cvavs|4|4|0|0|8|      0.0%|
cvcir|8|2|0|0|10|      0.0%|
cvmrs|2|2|0|0|4|      0.0%|
cvref|3|2|0|0|5|      0.0%|
cvsup|2|2|0|0|4|      0.0%|
cwavs|5|4|1|0|10|      0.0%|
cwcir|32|25|6|0|63|      0.1%|
cwjuv|1|1|1|0|3|      0.0%|
cwmrs|37|31|2|0|70|      0.2%|
cwres|166|162|0|0|328|      0.7%|
cwsup|106|94|0|0|200|      0.4%|
eaubk|9|11|0|0|20|      0.0%|
edf  |7|0|0|0|7|      0.0%|
edn  |2|1|0|0|3|      0.0%|
egen |433|186|3|0|622|      1.4%|
eirc |54|75|0|0|129|      0.3%|
eircb|0|1|0|0|1|      0.0%|
ejuv |59|33|0|0|92|      0.2%|
emsv |93|35|0|0|128|      0.3%|
eover|12|0|0|0|12|      0.0%|
erav |4|5|0|0|9|      0.0%|
eref |6|3|0|0|9|      0.0%|
ergen|4|4|0|0|8|      0.0%|
esswo|23|8|0|0|31|      0.1%|
eswlo|117|59|0|0|176|      0.4%|
faccs|80|77|0|0|157|      0.4%|
fadap|9|9|0|0|18|      0.0%|
fal  |1|0|0|0|1|      0.0%|
fav  |23|23|0|0|46|      0.1%|
fdvd |1665|1251|44|21|2981|      6.7%|
fethe|1|1|0|0|2|      0.0%|
fgc  |1367|1386|12|19|2784|      6.2%|
flap |16|15|0|0|31|      0.1%|
fmin |13|7|0|0|20|      0.0%|
fmous|8|7|0|0|15|      0.0%|
fovs |1|0|0|0|1|      0.0%|
fread|9|8|0|0|17|      0.0%|
fres |6|4|0|0|10|      0.0%|
froom|155|143|0|0|298|      0.7%|
fsrec|384|239|0|0|623|      1.4%|
fsto1|3|4|0|0|7|      0.0%|
fstor|54|54|5|0|113|      0.3%|
fxx  |42|12|0|0|54|      0.1%|
fxxov|6|2|0|0|8|      0.0%|
