CIRCULATION ACTIVITY by ITEM LOCATION (Jul 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|68|59|3|0|130|      0.3%|
cjcir|262|238|25|0|525|      1.2%|
cjmrs|19|17|2|0|38|      0.1%|
cjpbk|18|16|0|0|34|      0.1%|
cjres|111|111|0|0|222|      0.5%|
cjsup|63|61|0|0|124|      0.3%|
cmavs|55|49|5|0|109|      0.3%|
cmcir|583|474|27|0|1084|      2.6%|
cmjuv|19|26|0|0|45|      0.1%|
cmmrs|41|41|6|0|88|      0.2%|
cmovs|18|19|0|0|37|      0.1%|
cmpbk|8|13|0|0|21|      0.0%|
cmref|18|3|0|0|21|      0.0%|
cmres|547|540|0|0|1087|      2.6%|
cmsup|1742|1704|0|0|3446|      8.2%|
cravs|7|6|0|0|13|      0.0%|
crcir|5|3|0|0|8|      0.0%|
crres|2|2|0|0|4|      0.0%|
crsup|3|1|0|0|4|      0.0%|
ctcir|19|8|0|0|27|      0.1%|
cvcir|15|9|1|0|25|      0.1%|
cvesl|1|0|0|0|1|      0.0%|
cvjuv|0|0|1|0|1|      0.0%|
cvmrs|4|4|0|0|8|      0.0%|
cvres|1|1|0|0|2|      0.0%|
cvsup|5|5|0|0|10|      0.0%|
cwavs|8|6|1|0|15|      0.0%|
cwcir|47|41|10|0|98|      0.2%|
cwjuv|7|3|0|0|10|      0.0%|
cwmrs|17|21|1|0|39|      0.1%|
cwref|3|1|0|0|4|      0.0%|
cwres|137|138|0|0|275|      0.7%|
cwsup|97|97|0|0|194|      0.5%|
eaubk|29|15|0|0|44|      0.1%|
edf  |0|7|0|0|7|      0.0%|
edn  |2|1|0|0|3|      0.0%|
edocs|1|1|0|0|2|      0.0%|
egen |579|258|0|0|837|      2.0%|
eirc |151|57|0|0|208|      0.5%|
eircb|0|2|0|0|2|      0.0%|
ejuv |122|56|0|0|178|      0.4%|
emsv |50|38|0|0|88|      0.2%|
enmpe|1|1|0|0|2|      0.0%|
enmpo|0|1|0|0|1|      0.0%|
eover|8|4|0|0|12|      0.0%|
erav |2|0|0|0|2|      0.0%|
eref |1|1|0|0|2|      0.0%|
eresv|4|3|0|0|7|      0.0%|
ergen|5|9|0|0|14|      0.0%|
esswo|14|20|0|0|34|      0.1%|
eswlo|152|80|0|0|232|      0.6%|
faccs|61|61|0|0|122|      0.3%|
fadap|14|13|0|0|27|      0.1%|
fav  |15|10|1|0|26|      0.1%|
fdvd |1569|1175|39|14|2797|      6.6%|
fgc  |1128|949|30|14|2121|      5.0%|
flap |16|15|0|0|31|      0.1%|
fmin |1|4|0|0|5|      0.0%|
fmous|1|1|0|0|2|      0.0%|
fovs |2|3|0|0|5|      0.0%|
fper |1|0|0|0|1|      0.0%|
fread|14|10|1|1|26|      0.1%|
fref |1|0|0|0|1|      0.0%|
fres |8|3|0|0|11|      0.0%|
froom|145|134|0|0|279|      0.7%|
fsrec|226|236|5|0|467|      1.1%|
fsto1|2|4|0|0|6|      0.0%|
fstor|30|17|1|0|48|      0.1%|
fxx  |22|25|1|0|48|      0.1%|
fxxov|3|2|0|0|5|      0.0%|
gcd  |2|1|0|0|3|      0.0%|
ggc  |273|333|0|0|606|      1.4%|
gpop |42|34|0|0|76|      0.2%|
gres |255|232|0|0|487|      1.2%|
gtran|15|21|0|0|36|      0.1%|
gvid |87|94|0|0|181|      0.4%|
harch|7|3|0|0|10|      0.0%|
hart |43|0|0|0|43|      0.1%|
haud |2|1|0|0|3|      0.0%|
hcdrm|4|4|0|0|8|      0.0%|
hgen |381|300|4|1|686|      1.6%|
hjuv |21|50|0|0|71|      0.2%|
hover|9|12|0|0|21|      0.0%|
hvid |193|150|1|0|344|      0.8%|
iav  |83|75|0|0|158|      0.4%|
icirc|147|65|0|0|212|      0.5%|
inc  |2|4|0|0|6|      0.0%|
iref |2|1|0|0|3|      0.0%|
nccgc|80|64|0|0|144|      0.3%|
nccq |1|1|0|0|2|      0.0%|
nccrs|1|1|0|0|2|      0.0%|
nccv |47|0|0|0|47|      0.1%|
paccs|13|11|0|0|24|      0.1%|
padap|3|3|0|0|6|      0.0%|
pgc  |4|0|3|0|7|      0.0%|
pgcll|242|241|8|10|501|      1.2%|
phres|0|6|0|0|6|      0.0%|
plap |47|47|0|0|94|      0.2%|
pml  |2|0|0|0|2|      0.0%|
pmous|13|13|0|0|26|      0.1%|
pread|15|10|0|0|25|      0.1%|
pres |36|33|0|0|69|      0.2%|
prnm |0|1|0|0|1|      0.0%|
proom|66|66|0|0|132|      0.3%|
rgen |21|28|0|0|49|      0.1%|
saccs|6|5|0|0|11|      0.0%|
sadap|2|2|0|0|4|      0.0%|
scirc|2|2|0|0|4|      0.0%|
sel  |2|3|0|0|5|      0.0%|
sfc  |12|3|0|0|15|      0.0%|
sfcab|64|32|0|0|96|      0.2%|
sfccd|92|95|0|0|187|      0.4%|
sfcdv|364|351|4|1|720|      1.7%|
sfcgc|375|447|1|0|823|      2.0%|
sfcin|2|7|0|0|9|      0.0%|
sfcm |2|2|0|0|4|      0.0%|
sfco |1|4|0|0|5|      0.0%|
sfcrf|1|1|0|0|2|      0.0%|
sfcrv|249|211|0|0|460|      1.1%|
sfctd|3|2|0|0|5|      0.0%|
sfigc|59|129|0|1|189|      0.4%|
sgc  |7|2|7|0|16|      0.0%|
sgc2 |1002|702|15|11|1730|      4.1%|
sgov |2|1|0|0|3|      0.0%|
slap |68|68|0|0|136|      0.3%|
smapg|3|3|0|0|6|      0.0%|
smous|6|6|0|0|12|      0.0%|
smpg2|8|12|0|0|20|      0.0%|
sovs2|3|2|0|0|5|      0.0%|
sread|13|9|0|0|22|      0.1%|
sref1|1|2|0|0|3|      0.0%|
sres |117|113|1|0|231|      0.5%|
sstor|3|7|0|0|10|      0.0%|
ssw  |1|2|0|0|3|      0.0%|
tcd  |0|1|0|0|1|      0.0%|
tgc  |70|38|0|0|108|      0.3%|
till |39|24|0|0|63|      0.1%|
tovs |5|5|0|0|10|      0.0%|
tper |1|1|0|0|2|      0.0%|
tref |1|1|0|0|2|      0.0%|
tres |4|1|0|0|5|      0.0%|
tvid |8|2|0|0|10|      0.0%|
vaud |2|0|0|0|2|      0.0%|
vesl |8|8|0|0|16|      0.0%|
vgc  |247|137|4|0|388|      0.9%|
vill |6|5|0|0|11|      0.0%|
vnmsd|9|9|0|0|18|      0.0%|
vovs |14|9|0|0|23|      0.1%|
vper |10|7|0|0|17|      0.0%|
vres |50|38|0|0|88|      0.2%|
vsff |7|7|0|0|14|      0.0%|
vttf |1|0|0|0|1|      0.0%|
vvid |72|55|0|0|127|      0.3%|
zaccs|8|6|0|0|14|      0.0%|
zadap|52|52|0|0|104|      0.2%|
zav  |4|0|0|0|4|      0.0%|
zcopy|5|5|0|0|10|      0.0%|
zcsav|0|1|0|0|1|      0.0%|
zcsmm|18|18|0|0|36|      0.1%|
zcsov|7|5|0|0|12|      0.0%|
zcstd|4|6|0|0|10|      0.0%|
zcsua|2|7|0|0|9|      0.0%|
zcswr|154|156|0|0|310|      0.7%|
zethe|3|3|0|0|6|      0.0%|
zgc  |283|178|85|11|557|      1.3%|
zgc2 |2527|1990|31|67|4615|     11.0%|
zgc3 |2049|1957|45|22|4073|      9.7%|
zgov |6|5|3|0|14|      0.0%|
zgvr0|2|2|0|0|4|      0.0%|
zim  |3|2|0|0|5|      0.0%|
zjv  |446|386|2|7|841|      2.0%|
zjvl |13|20|2|0|35|      0.1%|
zjvo |0|1|0|0|1|      0.0%|
zlap |503|495|0|0|998|      2.4%|
zlarg|11|13|1|0|25|      0.1%|
zmous|34|33|0|0|67|      0.2%|
zovs |2|3|0|0|5|      0.0%|
zper |10|11|0|0|21|      0.0%|
zpop |87|74|2|2|165|      0.4%|
zpww |40|31|0|0|71|      0.2%|
zread|38|31|0|0|69|      0.2%|
zref |1|0|0|0|1|      0.0%|
zres |95|87|0|0|182|      0.4%|
zroom|582|556|0|0|1138|      2.7%|
zstor|13|14|2|0|29|      0.1%|
ztwr |25|11|0|0|36|      0.1%|
zww  |26|24|0|1|51|      0.1%|
3cd  |1|1|0|0|2|      0.0%|
3dvd |636|594|1|0|1231|      2.9%|
3dvdx|2|0|0|0|2|      0.0%|
3gc  |584|278|23|0|885|      2.1%|
3govt|11|1|0|0|12|      0.0%|
3ovs |2|0|0|0|2|      0.0%|
3ref |0|0|1|0|1|      0.0%|
3res |149|143|0|0|292|      0.7%|
3spec|2|0|1|0|3|      0.0%|
3thes|6|5|0|0|11|      0.0%|
3vert|49|42|0|0|91|      0.2%|
6av  |1|2|0|0|3|      0.0%|
6clas|39|40|0|0|79|      0.2%|
6desk|0|1|0|0|1|      0.0%|
6ind |7|13|0|0|20|      0.0%|
6land|3|0|0|0|3|      0.0%|
6latn|3|0|0|0|3|      0.0%|
6lrfl|186|74|2|1|263|      0.6%|
6nmex|1|0|0|0|1|      0.0%|
6ref |0|1|0|0|1|      0.0%|
6stor|2|0|0|0|2|      0.0%|
6uftr|5|13|1|0|19|      0.0%|
7ave |181|181|0|0|362|      0.9%|
7cd  |0|1|0|0|1|      0.0%|
7dvd |0|1|0|0|1|      0.0%|
