CIRCULATION ACTIVITY by ITEM LOCATION (Aug 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|28|33|1|0|62|      0.1%|
cjcir|179|215|22|0|416|      0.6%|
cjmrs|9|10|0|0|19|      0.0%|
cjpbk|27|10|0|0|37|      0.1%|
cjres|114|114|0|0|228|      0.4%|
cjsup|23|23|0|0|46|      0.1%|
cmavs|30|29|0|0|59|      0.1%|
cmcir|416|454|17|0|887|      1.4%|
cmjuv|38|25|1|0|64|      0.1%|
cmmrs|37|17|1|0|55|      0.1%|
cmovs|42|4|0|0|46|      0.1%|
cmpbk|1|7|0|0|8|      0.0%|
cmref|3|5|0|0|8|      0.0%|
cmres|472|470|0|0|942|      1.5%|
cmsup|820|815|0|0|1635|      2.5%|
cravs|1|2|0|0|3|      0.0%|
crcir|28|8|9|0|45|      0.1%|
crres|7|7|0|0|14|      0.0%|
crsup|4|4|0|0|8|      0.0%|
ctcir|8|11|11|0|30|      0.0%|
ctres|6|4|0|0|10|      0.0%|
cvcir|10|13|2|0|25|      0.0%|
cvesl|0|1|0|0|1|      0.0%|
cvres|4|2|0|0|6|      0.0%|
cwavs|9|2|2|0|13|      0.0%|
cwcir|60|40|6|0|106|      0.2%|
cwesl|1|1|0|0|2|      0.0%|
cwjuv|7|0|0|0|7|      0.0%|
cwmrs|1|0|0|0|1|      0.0%|
cwref|1|2|0|0|3|      0.0%|
cwres|75|74|0|0|149|      0.2%|
cwsup|66|59|0|0|125|      0.2%|
eaubk|29|14|0|0|43|      0.1%|
edf  |4|3|0|0|7|      0.0%|
edn  |4|0|0|0|4|      0.0%|
edspy|1|0|0|0|1|      0.0%|
egen |716|282|2|0|1000|      1.6%|
eirc |127|20|0|0|147|      0.2%|
eircb|8|4|0|0|12|      0.0%|
ejuv |86|44|0|0|130|      0.2%|
emsv |108|38|0|0|146|      0.2%|
eover|7|0|0|0|7|      0.0%|
erav |3|1|0|0|4|      0.0%|
erdsk|1|1|0|0|2|      0.0%|
eref |3|2|0|0|5|      0.0%|
eresv|42|38|0|0|80|      0.1%|
ergen|7|6|0|0|13|      0.0%|
esovo|3|0|0|0|3|      0.0%|
esswo|20|8|0|0|28|      0.0%|
eswlg|39|39|0|0|78|      0.1%|
eswlo|178|90|0|0|268|      0.4%|
faccs|90|83|0|0|173|      0.3%|
fadap|53|51|0|0|104|      0.2%|
fav  |44|25|2|0|71|      0.1%|
fcda |1|0|0|0|1|      0.0%|
fdvd |1445|997|25|28|2495|      3.9%|
fgc  |3171|1105|24|49|4349|      6.7%|
flap |85|82|0|0|167|      0.3%|
fmin |18|8|0|0|26|      0.0%|
fmous|16|15|0|0|31|      0.0%|
fovs |4|2|0|0|6|      0.0%|
fread|18|16|0|0|34|      0.1%|
fref |0|0|1|0|1|      0.0%|
fres |244|223|0|0|467|      0.7%|
froom|248|233|0|0|481|      0.7%|
fsrec|400|217|0|0|617|      1.0%|
fsto1|12|3|0|0|15|      0.0%|
fstor|46|17|0|0|63|      0.1%|
fxx  |32|7|0|0|39|      0.1%|
fxxov|1|2|0|0|3|      0.0%|
gcd  |1|2|0|0|3|      0.0%|
ggc  |249|181|0|2|432|      0.7%|
govs |1|1|0|0|2|      0.0%|
gpop |50|37|0|0|87|      0.1%|
gres |498|462|0|0|960|      1.5%|
gtran|48|25|0|0|73|      0.1%|
gvid |45|39|0|0|84|      0.1%|
harch|0|1|0|0|1|      0.0%|
haud |2|0|0|0|2|      0.0%|
hcatd|1|0|0|0|1|      0.0%|
hcdrm|3|0|0|0|3|      0.0%|
hgen |406|289|3|1|699|      1.1%|
hjuv |34|19|0|0|53|      0.1%|
hover|22|6|0|0|28|      0.0%|
href |3|2|0|0|5|      0.0%|
hvid |158|101|1|0|260|      0.4%|
iav  |142|107|0|0|249|      0.4%|
icirc|225|139|2|1|367|      0.6%|
inc  |5|4|0|0|9|      0.0%|
iref |0|2|0|1|3|      0.0%|
ires |77|72|0|0|149|      0.2%|
ncccd|1|0|1|0|2|      0.0%|
nccgc|220|59|0|0|279|      0.4%|
nccq |1|0|0|0|1|      0.0%|
nccrs|2|0|0|0|2|      0.0%|
nccv |62|37|0|0|99|      0.2%|
ncegc|1|0|0|0|1|      0.0%|
paccs|6|5|0|0|11|      0.0%|
padap|5|4|0|0|9|      0.0%|
pgc  |7|2|4|0|13|      0.0%|
pgcll|748|220|6|17|991|      1.5%|
phres|0|1|0|0|1|      0.0%|
plap |67|66|0|0|133|      0.2%|
pmous|9|8|0|0|17|      0.0%|
prdsk|0|1|0|0|1|      0.0%|
pread|19|13|0|0|32|      0.0%|
pref |1|3|0|0|4|      0.0%|
pres |130|123|0|0|253|      0.4%|
proom|37|36|0|0|73|      0.1%|
rgen |33|18|0|0|51|      0.1%|
saccs|4|5|0|0|9|      0.0%|
sadap|7|7|0|0|14|      0.0%|
sel  |6|2|0|0|8|      0.0%|
sethe|1|1|0|0|2|      0.0%|
sfc  |5|3|0|0|8|      0.0%|
sfcab|50|35|1|0|86|      0.1%|
sfccd|63|46|0|0|109|      0.2%|
sfcdv|356|277|7|0|640|      1.0%|
sfcgc|306|198|2|0|506|      0.8%|
sfco |6|3|0|0|9|      0.0%|
sfcrv|327|283|0|0|610|      0.9%|
sfctd|4|3|0|0|7|      0.0%|
sfigc|65|179|0|0|244|      0.4%|
sfinn|1|1|0|0|2|      0.0%|
sgc  |35|4|19|0|58|      0.1%|
sgc2 |3271|1121|32|37|4461|      6.9%|
sgov |21|8|0|0|29|      0.0%|
slap |257|253|0|0|510|      0.8%|
smous|21|21|0|0|42|      0.1%|
smpg2|10|6|0|0|16|      0.0%|
smpr2|2|0|0|0|2|      0.0%|
sovs2|6|3|0|0|9|      0.0%|
sread|10|10|0|0|20|      0.0%|
sref1|2|0|0|0|2|      0.0%|
sres |360|309|0|4|673|      1.0%|
sstor|18|6|0|0|24|      0.0%|
ssw  |1|0|0|0|1|      0.0%|
tgc  |123|68|2|0|193|      0.3%|
till |28|19|0|0|47|      0.1%|
tovs |6|4|0|0|10|      0.0%|
tper |12|3|0|0|15|      0.0%|
tres |108|98|0|0|206|      0.3%|
tvid |64|7|0|0|71|      0.1%|
uts  |1|0|0|0|1|      0.0%|
vaud |0|1|0|0|1|      0.0%|
vesl |29|11|0|0|40|      0.1%|
vgc  |300|210|1|0|511|      0.8%|
vill |5|3|0|0|8|      0.0%|
vovs |8|3|0|0|11|      0.0%|
vper |1|0|0|0|1|      0.0%|
vres |223|195|1|1|420|      0.7%|
vsff |8|3|0|0|11|      0.0%|
vttf |1|0|0|0|1|      0.0%|
vvid |74|39|0|0|113|      0.2%|
zaccs|6|6|0|0|12|      0.0%|
zadap|134|126|0|0|260|      0.4%|
zav  |2|0|0|0|2|      0.0%|
zcopy|1|0|0|0|1|      0.0%|
zcsan|4|4|0|0|8|      0.0%|
zcsav|4|3|0|0|7|      0.0%|
zcsma|2|2|0|0|4|      0.0%|
zcsmm|20|18|0|0|38|      0.1%|
zcsov|7|12|0|0|19|      0.0%|
zcstd|5|6|0|0|11|      0.0%|
zcsua|1|1|0|0|2|      0.0%|
zcswr|177|204|0|0|381|      0.6%|
zethe|4|4|0|0|8|      0.0%|
zgc  |641|237|116|12|1006|      1.6%|
zgc-2|5|0|0|0|5|      0.0%|
zgc2 |8788|2623|58|126|11595|     18.0%|
zgc3 |6740|2039|51|55|8885|     13.8%|
zgov |24|8|0|0|32|      0.0%|
zgovm|1|0|0|0|1|      0.0%|
zgv  |0|1|0|0|1|      0.0%|
zgvcd|2|2|0|0|4|      0.0%|
zim  |9|2|0|0|11|      0.0%|
zjv  |731|461|3|6|1201|      1.9%|
zjvl |14|7|0|0|21|      0.0%|
zlap |1190|1173|0|0|2363|      3.7%|
zlarg|20|7|1|0|28|      0.0%|
zmfmm|2|0|0|0|2|      0.0%|
zmous|42|42|0|0|84|      0.1%|
zovs |2|4|0|0|6|      0.0%|
zper |27|10|0|0|37|      0.1%|
zper0|4|5|0|0|9|      0.0%|
zpop |115|65|0|4|184|      0.3%|
zpww |138|49|1|0|188|      0.3%|
zread|35|32|0|0|67|      0.1%|
zref |0|1|0|0|1|      0.0%|
zref1|1|1|0|0|2|      0.0%|
zres |350|325|0|2|677|      1.1%|
zroom|570|539|0|0|1109|      1.7%|
zstor|35|14|4|0|53|      0.1%|
ztwr |19|7|2|0|28|      0.0%|
zww  |85|30|1|0|116|      0.2%|
3cd  |10|0|0|0|10|      0.0%|
3dvd |607|554|0|0|1161|      1.8%|
3dvdx|4|0|0|0|4|      0.0%|
3gc  |603|293|3|2|901|      1.4%|
3govt|4|9|0|0|13|      0.0%|
3maps|4|2|0|0|6|      0.0%|
3ovs |1|1|0|0|2|      0.0%|
3res |675|231|0|0|906|      1.4%|
3thes|27|12|0|0|39|      0.1%|
3vert|81|66|1|0|148|      0.2%|
6av  |1|2|0|0|3|      0.0%|
6clas|228|212|0|0|440|      0.7%|
6clin|1|1|0|0|2|      0.0%|
6desk|4|3|0|0|7|      0.0%|
6ind |8|5|0|0|13|      0.0%|
6latn|0|1|0|0|1|      0.0%|
6lrfl|242|166|2|4|414|      0.6%|
6lsar|3|1|0|0|4|      0.0%|
6nmex|1|0|0|0|1|      0.0%|
6ref |3|3|0|0|6|      0.0%|
6refp|2|0|0|0|2|      0.0%|
6uftr|6|1|0|0|7|      0.0%|
7ave |133|132|0|0|265|      0.4%|
7dvd |6|0|0|0|6|      0.0%|
7gc  |121|33|0|0|154|      0.2%|
7res |26|27|0|0|53|      0.1%|
8agen|6|8|0|0|14|      0.0%|
8avid|6|0|0|0|6|      0.0%|
8gen |8|6|0|0|14|      0.0%|
8vid |1|2|0|0|3|      0.0%|
Blank Branch|2|2|3|0|7|      0.0%|
Total|42147|21513|454|352|64466|    100.0%|
