CIRCULATION ACTIVITY by ITEM LOCATION (Sep 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|47|46|3|1|97|      0.1%|
cjcir|242|122|15|1|380|      0.5%|
cjmrs|20|12|1|0|33|      0.0%|
cjpbk|30|28|1|0|59|      0.1%|
cjref|1|1|0|0|2|      0.0%|
cjres|287|283|0|0|570|      0.7%|
cjsup|71|67|0|0|138|      0.2%|
cmavs|49|38|1|0|88|      0.1%|
cmcir|530|299|14|2|845|      1.1%|
cmjuv|18|7|2|0|27|      0.0%|
cmmrs|68|64|6|0|138|      0.2%|
cmovs|8|41|0|0|49|      0.1%|
cmpbk|34|13|0|0|47|      0.1%|
cmref|10|5|0|0|15|      0.0%|
cmres|1438|1420|0|0|2858|      3.7%|
cmsup|2167|2124|0|0|4291|      5.5%|
cravs|5|3|0|0|8|      0.0%|
crcir|7|9|2|0|18|      0.0%|
crmrs|2|2|0|0|4|      0.0%|
crres|5|5|0|0|10|      0.0%|
crsup|2|2|0|0|4|      0.0%|
ctcir|8|6|0|0|14|      0.0%|
ctres|13|11|0|0|24|      0.0%|
cvavs|5|5|0|0|10|      0.0%|
cvcir|26|14|1|0|41|      0.1%|
cvjuv|1|0|1|0|2|      0.0%|
cvres|8|9|0|0|17|      0.0%|
cvsup|13|11|0|0|24|      0.0%|
cwavs|3|2|0|0|5|      0.0%|
cwcir|19|16|5|1|41|      0.1%|
cwjuv|15|10|2|0|27|      0.0%|
cwmrs|6|5|0|0|11|      0.0%|
cwres|198|193|0|0|391|      0.5%|
cwsup|124|122|0|0|246|      0.3%|
eaubk|17|7|0|0|24|      0.0%|
edf  |16|4|0|0|20|      0.0%|
edn  |2|2|0|0|4|      0.0%|
edocs|1|1|0|0|2|      0.0%|
egen |706|325|2|0|1033|      1.3%|
eirc |204|59|1|0|264|      0.3%|
ejuv |176|82|0|0|258|      0.3%|
emsv |84|64|3|0|151|      0.2%|
eover|10|2|0|0|12|      0.0%|
eper |2|0|0|0|2|      0.0%|
erav |6|8|0|0|14|      0.0%|
eref |3|1|0|0|4|      0.0%|
eresv|228|214|0|0|442|      0.6%|
ergen|19|11|0|0|30|      0.0%|
esovo|1|1|0|0|2|      0.0%|
esslg|1|1|0|0|2|      0.0%|
esswo|44|18|0|0|62|      0.1%|
eswlg|2|1|0|0|3|      0.0%|
eswlo|192|109|1|0|302|      0.4%|
faccs|205|195|0|0|400|      0.5%|
fadap|71|63|0|0|134|      0.2%|
fav  |51|32|1|0|84|      0.1%|
fcda |1|1|1|0|3|      0.0%|
fdvd |1843|1285|56|41|3225|      4.1%|
fgc  |2364|1095|41|41|3541|      4.5%|
flap |367|334|0|0|701|      0.9%|
fmin |10|11|0|0|21|      0.0%|
fmous|6|5|0|0|11|      0.0%|
fovs |6|2|1|0|9|      0.0%|
fper |1|1|0|0|2|      0.0%|
fread|17|15|0|0|32|      0.0%|
fref |2|2|1|0|5|      0.0%|
fres |325|312|1|0|638|      0.8%|
froom|649|590|0|0|1239|      1.6%|
fsrec|601|362|4|1|968|      1.2%|
fsto1|12|11|0|0|23|      0.0%|
fstor|24|17|0|2|43|      0.1%|
fxx  |110|58|2|0|170|      0.2%|
fxxov|14|7|1|0|22|      0.0%|
ggc  |378|271|0|0|649|      0.8%|
govs |1|1|0|0|2|      0.0%|
gpop |33|37|0|0|70|      0.1%|
gres |978|896|0|0|1874|      2.4%|
gsc  |1|1|0|0|2|      0.0%|
gtran|49|42|0|0|91|      0.1%|
gvid |87|66|0|0|153|      0.2%|
haud |3|2|0|0|5|      0.0%|
hcatd|0|1|0|0|1|      0.0%|
hgen |514|178|0|2|694|      0.9%|
hjuv |57|18|0|0|75|      0.1%|
hover|15|9|0|0|24|      0.0%|
href |5|5|0|0|10|      0.0%|
hvid |151|115|0|1|267|      0.3%|
iav  |210|166|1|0|377|      0.5%|
icirc|440|268|2|0|710|      0.9%|
inc  |10|9|0|0|19|      0.0%|
iper |2|2|0|0|4|      0.0%|
ires |85|81|0|0|166|      0.2%|
lbgc |1|1|0|0|2|      0.0%|
ncccd|0|1|0|0|1|      0.0%|
nccgc|199|113|0|0|312|      0.4%|
nccq |1|1|0|0|2|      0.0%|
nccs |1|0|0|0|1|      0.0%|
nccv |16|9|0|0|25|      0.0%|
ncegc|1|0|0|0|1|      0.0%|
paccs|10|11|0|0|21|      0.0%|
padap|34|33|0|0|67|      0.1%|
pgc  |4|0|2|0|6|      0.0%|
pgcll|340|157|11|8|516|      0.7%|
plap |255|251|0|0|506|      0.6%|
pmous|40|40|0|0|80|      0.1%|
pread|11|13|0|0|24|      0.0%|
pref |0|1|0|0|1|      0.0%|
pres |254|245|2|0|501|      0.6%|
