CIRCULATION ACTIVITY by ITEM LOCATION (Oct 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|74|55|6|0|135|      0.2%|
cjcir|442|244|18|0|704|      0.8%|
cjmrs|28|22|2|0|52|      0.1%|
cjpbk|22|20|1|0|43|      0.1%|
cjres|200|200|0|0|400|      0.5%|
cjsup|87|87|0|0|174|      0.2%|
cmavs|85|53|5|0|143|      0.2%|
cmcir|665|386|24|1|1076|      1.3%|
cmjuv|67|41|0|0|108|      0.1%|
cmmrs|36|23|4|0|63|      0.1%|
cmovs|3|7|0|0|10|      0.0%|
cmpbk|52|33|0|0|85|      0.1%|
cmref|14|5|0|0|19|      0.0%|
cmres|1184|1172|0|0|2356|      2.8%|
cmsup|2564|2537|0|0|5101|      6.1%|
cravs|2|4|2|0|8|      0.0%|
crcir|14|8|4|0|26|      0.0%|
crres|9|8|0|0|17|      0.0%|
crsup|7|7|0|0|14|      0.0%|
ctcir|12|11|1|0|24|      0.0%|
ctres|14|14|0|0|28|      0.0%|
cvavs|13|5|0|0|18|      0.0%|
cvcir|16|14|2|0|32|      0.0%|
cvjuv|1|2|0|0|3|      0.0%|
cvmrs|2|0|0|0|2|      0.0%|
cvres|14|9|0|0|23|      0.0%|
cvsup|29|26|0|0|55|      0.1%|
cwavs|6|3|0|0|9|      0.0%|
cwcir|66|38|5|0|109|      0.1%|
cwesl|1|0|0|0|1|      0.0%|
cwjuv|2|13|0|0|15|      0.0%|
cwmrs|3|2|0|0|5|      0.0%|
cwref|9|8|0|0|17|      0.0%|
cwres|186|180|0|0|366|      0.4%|
cwsup|281|277|0|0|558|      0.7%|
eaubk|28|15|0|0|43|      0.1%|
edf  |33|22|0|0|55|      0.1%|
edn  |4|1|0|0|5|      0.0%|
edocs|2|1|0|0|3|      0.0%|
egen |793|381|2|0|1176|      1.4%|
eirc |162|111|0|0|273|      0.3%|
ejuv |222|154|0|0|376|      0.5%|
emsv |93|72|0|0|165|      0.2%|
eover|7|5|0|0|12|      0.0%|
eper |6|1|0|0|7|      0.0%|
epero|1|1|0|0|2|      0.0%|
erav |28|16|0|0|44|      0.1%|
eref |4|3|0|0|7|      0.0%|
eresv|86|82|0|0|168|      0.2%|
ergen|49|22|0|0|71|      0.1%|
esarc|1|0|0|0|1|      0.0%|
esovo|0|1|0|0|1|      0.0%|
esslg|1|1|0|0|2|      0.0%|
esswo|20|19|0|0|39|      0.0%|
eswlo|166|107|0|0|273|      0.3%|
faccs|200|188|0|0|388|      0.5%|
fadap|68|65|0|0|133|      0.2%|
fav  |68|51|3|1|123|      0.1%|
fcda |3|1|0|0|4|      0.0%|
fdvd |2068|1505|60|31|3664|      4.4%|
fethe|1|1|0|0|2|      0.0%|
fgc  |2473|1161|54|45|3733|      4.5%|
flap |343|319|0|0|662|      0.8%|
fmin |11|5|0|0|16|      0.0%|
fmous|8|7|0|0|15|      0.0%|
fovs |2|4|0|0|6|      0.0%|
fper |3|3|0|0|6|      0.0%|
fread|10|10|0|0|20|      0.0%|
fref |1|1|1|0|3|      0.0%|
fres |373|324|0|0|697|      0.8%|
froom|761|672|0|0|1433|      1.7%|
fsrec|497|379|9|1|886|      1.1%|
fsto1|8|5|2|0|15|      0.0%|
fstor|36|29|5|0|70|      0.1%|
fxx  |81|56|0|0|137|      0.2%|
fxxov|6|5|1|0|12|      0.0%|
gcd  |12|0|0|0|12|      0.0%|
ggc  |444|282|0|0|726|      0.9%|
gpop |31|26|0|0|57|      0.1%|
gres |1090|997|0|0|2087|      2.5%|
gsc  |1|1|0|0|2|      0.0%|
