CIRCULATION ACTIVITY by ITEM LOCATION (Nov 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
cjavs|49|49|7|0|105|      0.1%|
cjcir|321|320|21|0|662|      0.9%|
cjmrs|12|8|4|0|24|      0.0%|
cjpbk|21|15|0|0|36|      0.0%|
cjres|151|151|0|0|302|      0.4%|
cjsup|84|83|0|0|167|      0.2%|
cmavs|65|38|0|0|103|      0.1%|
cmcir|657|504|13|1|1175|      1.5%|
cmjuv|47|50|0|0|97|      0.1%|
cmmrs|24|26|2|0|52|      0.1%|
cmpbk|45|38|0|0|83|      0.1%|
cmref|15|7|0|0|22|      0.0%|
cmres|705|709|0|0|1414|      1.9%|
cmsup|2167|2121|0|0|4288|      5.6%|
cravs|2|2|0|0|4|      0.0%|
crcir|14|6|8|0|28|      0.0%|
crres|3|3|0|0|6|      0.0%|
crsup|5|5|0|0|10|      0.0%|
ctcir|4|5|6|0|15|      0.0%|
ctres|4|4|0|0|8|      0.0%|
cvavs|13|10|0|0|23|      0.0%|
cvcir|10|15|2|0|27|      0.0%|
cvmrs|1|1|0|0|2|      0.0%|
cvovs|2|2|2|0|6|      0.0%|
cvres|7|8|0|0|15|      0.0%|
cvsup|52|41|0|0|93|      0.1%|
cwavs|5|6|2|0|13|      0.0%|
cwcir|47|38|10|0|95|      0.1%|
cwesl|0|1|0|0|1|      0.0%|
cwjuv|2|0|1|0|3|      0.0%|
cwmrs|9|7|2|0|18|      0.0%|
cwref|1|1|0|0|2|      0.0%|
cwres|129|117|0|0|246|      0.3%|
cwsup|248|227|0|0|475|      0.6%|
eatla|1|0|0|0|1|      0.0%|
eaubk|20|15|0|0|35|      0.0%|
edf  |32|16|0|0|48|      0.1%|
edmfe|2|0|0|0|2|      0.0%|
edn  |2|0|0|0|2|      0.0%|
edspy|1|0|0|0|1|      0.0%|
egen |726|393|3|0|1122|      1.5%|
eirc |68|93|0|0|161|      0.2%|
eircb|4|1|0|0|5|      0.0%|
ejuv |130|116|0|0|246|      0.3%|
emsv |90|36|0|0|126|      0.2%|
eover|3|7|0|0|10|      0.0%|
eper |1|1|0|0|2|      0.0%|
erav |6|10|0|0|16|      0.0%|
eref |5|3|0|0|8|      0.0%|
eresv|115|100|0|0|215|      0.3%|
ergen|21|19|0|0|40|      0.1%|
esswo|39|14|0|0|53|      0.1%|
eswlo|160|94|0|0|254|      0.3%|
faccs|231|223|0|0|454|      0.6%|
fadap|55|53|0|0|108|      0.1%|
fal  |1|0|0|0|1|      0.0%|
fav  |53|39|1|1|94|      0.1%|
fdvd |2094|1548|69|42|3753|      4.9%|
fethe|2|2|0|0|4|      0.0%|
fgc  |2167|1381|25|42|3615|      4.7%|
flap |308|280|0|0|588|      0.8%|
fmin |4|4|0|0|8|      0.0%|
fmous|5|4|0|0|9|      0.0%|
fovs |1|1|0|0|2|      0.0%|
fper |2|2|0|0|4|      0.0%|
fread|12|11|0|0|23|      0.0%|
fref |1|0|0|0|1|      0.0%|
fres |203|182|0|0|385|      0.5%|
froom|733|637|0|0|1370|      1.8%|
fsper|1|1|0|0|2|      0.0%|
